model,family,scope,method,label,precision,recall,f1,support
convnext_tiny_emotion,cnn,all,single_frame,negative,0.2903,1.0000,0.4500,27
convnext_tiny_emotion,cnn,all,single_frame,neutral,1.0000,0.1373,0.2414,51
convnext_tiny_emotion,cnn,all,single_frame,positive,0.0000,0.0000,0.0000,22
convnext_tiny_emotion,cnn,all,smoothed,negative,0.2812,1.0000,0.4390,27
convnext_tiny_emotion,cnn,all,smoothed,neutral,1.0000,0.0784,0.1455,51
convnext_tiny_emotion,cnn,all,smoothed,positive,0.0000,0.0000,0.0000,22
convnext_tiny_emotion,cnn,all,vote,negative,0.2872,1.0000,0.4463,27
convnext_tiny_emotion,cnn,all,vote,neutral,0.8333,0.0980,0.1754,51
convnext_tiny_emotion,cnn,all,vote,positive,0.0000,0.0000,0.0000,22
convnext_tiny_emotion,cnn,dev,single_frame,negative,0.3958,1.0000,0.5672,19
convnext_tiny_emotion,cnn,dev,single_frame,neutral,1.0000,0.0952,0.1739,21
convnext_tiny_emotion,cnn,dev,single_frame,positive,0.0000,0.0000,0.0000,10
convnext_tiny_emotion,cnn,dev,smoothed,negative,0.3878,1.0000,0.5588,19
convnext_tiny_emotion,cnn,dev,smoothed,neutral,1.0000,0.0476,0.0909,21
convnext_tiny_emotion,cnn,dev,smoothed,positive,0.0000,0.0000,0.0000,10
convnext_tiny_emotion,cnn,dev,vote,negative,0.3958,1.0000,0.5672,19
convnext_tiny_emotion,cnn,dev,vote,neutral,0.5000,0.0476,0.0870,21
convnext_tiny_emotion,cnn,dev,vote,positive,0.0000,0.0000,0.0000,10
convnext_tiny_emotion,cnn,test,single_frame,negative,0.1778,1.0000,0.3019,8
convnext_tiny_emotion,cnn,test,single_frame,neutral,1.0000,0.1667,0.2857,30
convnext_tiny_emotion,cnn,test,single_frame,positive,0.0000,0.0000,0.0000,12
convnext_tiny_emotion,cnn,test,smoothed,negative,0.1702,1.0000,0.2909,8
convnext_tiny_emotion,cnn,test,smoothed,neutral,1.0000,0.1000,0.1818,30
convnext_tiny_emotion,cnn,test,smoothed,positive,0.0000,0.0000,0.0000,12
convnext_tiny_emotion,cnn,test,smoothed_calibrated,negative,0.2593,0.8750,0.4000,8
convnext_tiny_emotion,cnn,test,smoothed_calibrated,neutral,0.8261,0.6333,0.7170,30
convnext_tiny_emotion,cnn,test,smoothed_calibrated,positive,0.0000,0.0000,0.0000,12
convnext_tiny_emotion,cnn,test,vote,negative,0.1739,1.0000,0.2963,8
convnext_tiny_emotion,cnn,test,vote,neutral,1.0000,0.1333,0.2353,30
convnext_tiny_emotion,cnn,test,vote,positive,0.0000,0.0000,0.0000,12
vit_face_expression,vit,all,single_frame,negative,0.5556,0.1852,0.2778,27
vit_face_expression,vit,all,single_frame,neutral,0.5952,0.9804,0.7407,51
vit_face_expression,vit,all,single_frame,positive,0.8571,0.2727,0.4138,22
vit_face_expression,vit,all,smoothed,negative,0.6000,0.1111,0.1875,27
vit_face_expression,vit,all,smoothed,neutral,0.5682,0.9804,0.7194,51
vit_face_expression,vit,all,smoothed,positive,0.8571,0.2727,0.4138,22
vit_face_expression,vit,all,vote,negative,0.4000,0.1481,0.2162,27
vit_face_expression,vit,all,vote,neutral,0.5833,0.9608,0.7259,51
vit_face_expression,vit,all,vote,positive,0.8333,0.2273,0.3571,22
vit_face_expression,vit,dev,single_frame,negative,0.6667,0.2105,0.3200,19
vit_face_expression,vit,dev,single_frame,neutral,0.5250,1.0000,0.6885,21
vit_face_expression,vit,dev,single_frame,positive,0.7500,0.3000,0.4286,10
vit_face_expression,vit,dev,smoothed,negative,1.0000,0.1579,0.2727,19
vit_face_expression,vit,dev,smoothed,neutral,0.4884,1.0000,0.6562,21
vit_face_expression,vit,dev,smoothed,positive,0.7500,0.3000,0.4286,10
vit_face_expression,vit,dev,vote,negative,0.6000,0.1579,0.2500,19
vit_face_expression,vit,dev,vote,neutral,0.5000,1.0000,0.6667,21
vit_face_expression,vit,dev,vote,positive,0.6667,0.2000,0.3077,10
vit_face_expression,vit,test,single_frame,negative,0.3333,0.1250,0.1818,8
vit_face_expression,vit,test,single_frame,neutral,0.6591,0.9667,0.7838,30
vit_face_expression,vit,test,single_frame,positive,1.0000,0.2500,0.4000,12
vit_face_expression,vit,test,smoothed,negative,0.0000,0.0000,0.0000,8
vit_face_expression,vit,test,smoothed,neutral,0.6444,0.9667,0.7733,30
vit_face_expression,vit,test,smoothed,positive,1.0000,0.2500,0.4000,12
vit_face_expression,vit,test,smoothed_calibrated,negative,0.1429,0.2500,0.1818,8
vit_face_expression,vit,test,smoothed_calibrated,neutral,0.7273,0.8000,0.7619,30
vit_face_expression,vit,test,smoothed_calibrated,positive,1.0000,0.2500,0.4000,12
vit_face_expression,vit,test,vote,negative,0.2000,0.1250,0.1538,8
vit_face_expression,vit,test,vote,neutral,0.6667,0.9333,0.7778,30
vit_face_expression,vit,test,vote,positive,1.0000,0.2500,0.4000,12
